date,open,high,low,close,volume
2024-01-02,605.0681356876278,615.822520153398,597.1243403588321,604.7704273771011,13430000
2024-01-03,605.1143101508753,608.81127320226,598.2742489595292,603.8185401831353,22676000
2024-01-04,610.9639274300486,616.8502001112396,608.1655014490749,609.9867446667665,20816000
2024-01-05,622.8534460195107,634.2808075976989,619.212398094589,624.2271584012093,42733000
2024-01-08,625.1776380563033,628.0336605006385,612.1083460254816,622.3467985444059,30144000
2024-01-09,621.9483405263618,628.6609763638397,619.1795788959279,620.4722561600043,12050000
2024-01-10,635.8257676946907,646.6155926599257,630.3946185337253,635.4803583670043,43933000
2024-01-11,643.8319351355352,655.3913614964378,637.2179995918896,643.1134439967685,34951000
2024-01-12,638.3924412579285,641.8753242740747,631.4480930121406,638.9061213806635,42413000
2024-01-15,642.7995632396708,656.4621952239683,632.4663906260351,644.4252484373083,44801000
2024-01-16,639.345729442597,647.2199786065544,634.9957784107005,640.2678901342133,42913000
2024-01-17,637.7553451434729,640.3442942792177,630.8702773186127,636.115146978913,35280000
2024-01-18,635.6401700776769,645.2982731935323,628.9851450192289,638.7419425415112,34557000
2024-01-19,618.3467763875639,632.9214281734777,614.435774773127,620.7299284112967,45400000
2024-01-22,602.2330798100596,611.5540616667341,601.3238478559305,604.9796715351346,14494000
2024-01-23,597.4231215842257,604.9315126691683,594.0914051477906,600.1795734996746,25152000
2024-01-24,593.4635119206791,599.2864172640296,588.6793787034671,591.3614550389816,33895000
2024-01-25,595.6552753976168,598.2030904241086,591.3684114964877,594.4446421641861,19155000
2024-01-26,586.4938057641338,588.6196919997104,580.2094510264039,586.6453137855232,41883000
2024-01-29,572.2003299757516,576.9926081505336,569.0296049547594,574.5108162219615,11828000
2024-01-30,587.3792869457908,589.9573148022138,576.5803619948767,587.4285376879899,42123000
2024-01-31,585.5774557757476,588.5058451371302,580.7405865043536,585.7328403262428,47573000
2024-02-01,584.7019491010767,589.2581429236096,579.3152561065638,586.6190090534157,10806000
2024-02-02,573.995613065231,582.1501542741166,566.6899732141703,574.3755530207345,39757000
